no,plant,animal,w,layer
90,1936,Parus.ater,0,SD
91,1936,Fringilla.coelebs,1,SD
92,1936,Sylvia.conspicillata,0,SD
93,1936,Sylvia.atricapilla,0,SD
94,1936,Turdus.viscivorus,0,SD
95,1936,Sylvia.communis,3,SD
96,1936,Sylvia.melanocephala,4,SD
97,1936,Sylvia.borin,0,SD
98,1936,Parus.caeruleus,0,SD
99,1936,Phoenicurus.phoenicurus,0,SD
100,1936,Parus.cristatus,0,SD
101,1936,Parus.major,0,SD
102,1936,Sylvia.cantillans,1,SD
103,1936,Sitta.europaea,0,SD
104,1936,Dendrocopos.major,0,SD
105,1936,Unidentified,0,SD
106,1937,Columba.palumbus,0,SD
107,1937,Garrulus.glandarius,0,SD
108,1937,Turdus.merula,20,SD
109,1937,Phoenicurus.ochruros,20,SD
110,1937,Erithacus.rubecula,6,SD
111,1937,Parus.ater,4,SD
112,1937,Fringilla.coelebs,15,SD
113,1937,Sylvia.conspicillata,0,SD
114,1937,Sylvia.atricapilla,1,SD
115,1937,Turdus.viscivorus,0,SD
116,1937,Sylvia.communis,25,SD
117,1937,Sylvia.melanocephala,3,SD
118,1937,Sylvia.borin,0,SD
119,1937,Parus.caeruleus,12,SD
120,1937,Phoenicurus.phoenicurus,7,SD
121,1937,Parus.cristatus,0,SD
122,1937,Parus.major,0,SD
123,1937,Sylvia.cantillans,3,SD
124,1937,Sitta.europaea,0,SD
125,1937,Dendrocopos.major,0,SD
126,1937,Unidentified,0,SD
127,1938,Columba.palumbus,0,SD
128,1938,Garrulus.glandarius,0,SD
129,1938,Turdus.merula,8,SD
130,1938,Phoenicurus.ochruros,13,SD
131,1938,Erithacus.rubecula,12,SD
132,1938,Parus.ater,4,SD
133,1938,Fringilla.coelebs,10,SD
134,1938,Sylvia.conspicillata,0,SD
135,1938,Sylvia.atricapilla,3,SD
136,1938,Turdus.viscivorus,1,SD
137,1938,Sylvia.communis,27,SD
138,1938,Sylvia.melanocephala,7,SD
139,1938,Sylvia.borin,0,SD
140,1938,Parus.caeruleus,8,SD
141,1938,Phoenicurus.phoenicurus,5,SD
142,1938,Parus.cristatus,0,SD
143,1938,Parus.major,4,SD
144,1938,Sylvia.cantillans,4,SD
145,1938,Sitta.europaea,0,SD
146,1938,Dendrocopos.major,0,SD
147,1938,Unidentified,0,SD
148,1939,Columba.palumbus,0,SD
149,1939,Garrulus.glandarius,0,SD
150,1939,Turdus.merula,6,SD
151,1939,Phoenicurus.ochruros,4,SD
152,1939,Erithacus.rubecula,16,SD
153,1939,Parus.ater,5,SD
154,1939,Fringilla.coelebs,31,SD
155,1939,Sylvia.conspicillata,0,SD
156,1939,Sylvia.atricapilla,1,SD
157,1939,Turdus.viscivorus,0,SD
158,1939,Sylvia.communis,6,SD
159,1939,Sylvia.melanocephala,1,SD
160,1939,Sylvia.borin,0,SD
161,1939,Parus.caeruleus,5,SD
162,1939,Phoenicurus.phoenicurus,0,SD
163,1939,Parus.cristatus,1,SD
164,1939,Parus.major,0,SD
165,1939,Sylvia.cantillans,1,SD
166,1939,Sitta.europaea,1,SD
167,1939,Dendrocopos.major,0,SD
168,1939,Unidentified,0,SD
169,1940,Columba.palumbus,0,SD
170,1940,Garrulus.glandarius,0,SD
171,1940,Turdus.merula,4,SD
172,1940,Phoenicurus.ochruros,14,SD
173,1940,Erithacus.rubecula,26,SD
174,1940,Parus.ater,3,SD
175,1940,Fringilla.coelebs,39,SD
176,1940,Sylvia.conspicillata,0,SD
177,1940,Sylvia.atricapilla,6,SD
178,1940,Turdus.viscivorus,0,SD
179,1940,Sylvia.communis,3,SD
180,1940,Sylvia.melanocephala,4,SD
181,1940,Sylvia.borin,0,SD
182,1940,Parus.caeruleus,7,SD
183,1940,Phoenicurus.phoenicurus,1,SD
184,1940,Parus.cristatus,1,SD
185,1940,Parus.major,0,SD
186,1940,Sylvia.cantillans,0,SD
187,1940,Sitta.europaea,0,SD
188,1940,Dendrocopos.major,0,SD
189,1940,Unidentified,0,SD
190,1921,Columba.palumbus,1,SD
191,1921,Garrulus.glandarius,2,SD
192,1921,Turdus.merula,3,SD
193,1921,Phoenicurus.ochruros,65,SD
194,1921,Erithacus.rubecula,0,SD
195,1921,Parus.ater,0,SD
196,1921,Fringilla.coelebs,28,SD
197,1921,Sylvia.conspicillata,0,SD
198,1921,Sylvia.atricapilla,1,SD
199,1921,Turdus.viscivorus,0,SD
200,1921,Sylvia.communis,3,SD
201,1921,Sylvia.melanocephala,0,SD
202,1921,Sylvia.borin,0,SD
203,1921,Parus.caeruleus,2,SD
204,1921,Phoenicurus.phoenicurus,42,SD
205,1921,Parus.cristatus,0,SD
206,1921,Parus.major,0,SD
207,1921,Sylvia.cantillans,0,SD
208,1921,Sitta.europaea,0,SD
209,1921,Dendrocopos.major,0,SD
210,1921,Unidentified,2,SD
211,1823,Columba.palumbus,0,SD
212,1823,Garrulus.glandarius,20,SD
213,1823,Turdus.merula,11,SD
214,1823,Phoenicurus.ochruros,27,SD
215,1823,Erithacus.rubecula,15,SD
216,1823,Parus.ater,59,SD
217,1823,Fringilla.coelebs,147,SD
218,1823,Sylvia.conspicillata,0,SD
219,1823,Sylvia.atricapilla,2,SD
220,1823,Turdus.viscivorus,168,SD
221,1823,Sylvia.communis,0,SD
222,1823,Sylvia.melanocephala,0,SD
223,1823,Sylvia.borin,0,SD
224,1823,Parus.caeruleus,25,SD
225,1823,Phoenicurus.phoenicurus,3,SD
226,1823,Parus.cristatus,0,SD
227,1823,Parus.major,7,SD
228,1823,Sylvia.cantillans,0,SD
229,1823,Sitta.europaea,9,SD
230,1823,Dendrocopos.major,7,SD
231,1823,Unidentified,1,SD
232,1824,Columba.palumbus,0,SD
233,1824,Garrulus.glandarius,1,SD
234,1824,Turdus.merula,16,SD
235,1824,Phoenicurus.ochruros,31,SD
236,1824,Erithacus.rubecula,9,SD
237,1824,Parus.ater,6,SD
238,1824,Fringilla.coelebs,37,SD
239,1824,Sylvia.conspicillata,0,SD
240,1824,Sylvia.atricapilla,1,SD
241,1824,Turdus.viscivorus,66,SD
242,1824,Sylvia.communis,0,SD
243,1824,Sylvia.melanocephala,0,SD
244,1824,Sylvia.borin,0,SD
245,1824,Parus.caeruleus,8,SD
246,1824,Phoenicurus.phoenicurus,3,SD
247,1824,Parus.cristatus,0,SD
248,1824,Parus.major,0,SD
249,1824,Sylvia.cantillans,0,SD
250,1824,Sitta.europaea,0,SD
251,1824,Dendrocopos.major,0,SD
252,1824,Unidentified,2,SD
253,1820,Columba.palumbus,0,SD
254,1820,Garrulus.glandarius,7,SD
255,1820,Turdus.merula,1,SD
256,1820,Phoenicurus.ochruros,26,SD
257,1820,Erithacus.rubecula,1,SD
258,1820,Parus.ater,2,SD
259,1820,Fringilla.coelebs,39,SD
260,1820,Sylvia.conspicillata,0,SD
261,1820,Sylvia.atricapilla,0,SD
262,1820,Turdus.viscivorus,10,SD
263,1820,Sylvia.communis,0,SD
264,1820,Sylvia.melanocephala,0,SD
265,1820,Sylvia.borin,0,SD
266,1820,Parus.caeruleus,0,SD
267,1820,Phoenicurus.phoenicurus,1,SD
268,1820,Parus.cristatus,0,SD
269,1820,Parus.major,0,SD
270,1820,Sylvia.cantillans,0,SD
271,1820,Sitta.europaea,0,SD
272,1820,Dendrocopos.major,0,SD
273,1820,Unidentified,0,SD
274,1825,Columba.palumbus,0,SD
275,1825,Garrulus.glandarius,4,SD
276,1825,Turdus.merula,1,SD
277,1825,Phoenicurus.ochruros,28,SD
278,1825,Erithacus.rubecula,3,SD
279,1825,Parus.ater,10,SD
280,1825,Fringilla.coelebs,87,SD
281,1825,Sylvia.conspicillata,0,SD
282,1825,Sylvia.atricapilla,0,SD
283,1825,Turdus.viscivorus,13,SD
284,1825,Sylvia.communis,0,SD
285,1825,Sylvia.melanocephala,0,SD
286,1825,Sylvia.borin,0,SD
287,1825,Parus.caeruleus,1,SD
288,1825,Phoenicurus.phoenicurus,2,SD
289,1825,Parus.cristatus,2,SD
290,1825,Parus.major,1,SD
291,1825,Sylvia.cantillans,0,SD
292,1825,Sitta.europaea,5,SD
293,1825,Dendrocopos.major,0,SD
294,1825,Unidentified,0,SD
295,1929,Columba.palumbus,0,SD
296,1929,Garrulus.glandarius,0,SD
297,1929,Turdus.merula,0,SD
298,1929,Phoenicurus.ochruros,9,SD
299,1929,Erithacus.rubecula,0,SD
300,1929,Parus.ater,0,SD
301,1929,Fringilla.coelebs,1,SD
302,1929,Sylvia.conspicillata,0,SD
303,1929,Sylvia.atricapilla,0,SD
304,1929,Turdus.viscivorus,0,SD
305,1929,Sylvia.communis,5,SD
306,1929,Sylvia.melanocephala,0,SD
307,1929,Sylvia.borin,0,SD
308,1929,Parus.caeruleus,0,SD
309,1929,Phoenicurus.phoenicurus,2,SD
310,1929,Parus.cristatus,0,SD
311,1929,Parus.major,0,SD
312,1929,Sylvia.cantillans,0,SD
313,1929,Sitta.europaea,0,SD
314,1929,Dendrocopos.major,0,SD
315,1929,Unidentified,0,SD
316,8801,Columba.palumbus,0,SD
317,8801,Garrulus.glandarius,6,SD
318,8801,Turdus.merula,4,SD
319,8801,Phoenicurus.ochruros,134,SD
320,8801,Erithacus.rubecula,14,SD
321,8801,Parus.ater,21,SD
322,8801,Fringilla.coelebs,47,SD
323,8801,Sylvia.conspicillata,0,SD
324,8801,Sylvia.atricapilla,0,SD
325,8801,Turdus.viscivorus,24,SD
326,8801,Sylvia.communis,32,SD
327,8801,Sylvia.melanocephala,0,SD
328,8801,Sylvia.borin,1,SD
329,8801,Parus.caeruleus,33,SD
330,8801,Phoenicurus.phoenicurus,13,SD
331,8801,Parus.cristatus,1,SD
332,8801,Parus.major,4,SD
333,8801,Sylvia.cantillans,27,SD
334,8801,Sitta.europaea,0,SD
335,8801,Dendrocopos.major,0,SD
336,8801,Unidentified,0,SD
337,8808,Columba.palumbus,0,SD
338,8808,Garrulus.glandarius,8,SD
339,8808,Turdus.merula,5,SD
340,8808,Phoenicurus.ochruros,8,SD
341,8808,Erithacus.rubecula,7,SD
342,8808,Parus.ater,33,SD
343,8808,Fringilla.coelebs,24,SD
344,8808,Sylvia.conspicillata,0,SD
345,8808,Sylvia.atricapilla,1,SD
346,8808,Turdus.viscivorus,34,SD
347,8808,Sylvia.communis,5,SD
348,8808,Sylvia.melanocephala,0,SD
349,8808,Sylvia.borin,1,SD
350,8808,Parus.caeruleus,2,SD
351,8808,Phoenicurus.phoenicurus,3,SD
352,8808,Parus.cristatus,1,SD
353,8808,Parus.major,0,SD
354,8808,Sylvia.cantillans,2,SD
355,8808,Sitta.europaea,2,SD
356,8808,Dendrocopos.major,0,SD
357,8808,Unidentified,0,SD
358,8814,Columba.palumbus,1,SD
359,8814,Garrulus.glandarius,4,SD
360,8814,Turdus.merula,25,SD
361,8814,Phoenicurus.ochruros,32,SD
362,8814,Erithacus.rubecula,78,SD
363,8814,Parus.ater,5,SD
364,8814,Fringilla.coelebs,3,SD
365,8814,Sylvia.conspicillata,0,SD
366,8814,Sylvia.atricapilla,0,SD
367,8814,Turdus.viscivorus,1,SD
368,8814,Sylvia.communis,8,SD
369,8814,Sylvia.melanocephala,0,SD
370,8814,Sylvia.borin,1,SD
371,8814,Parus.caeruleus,1,SD
372,8814,Phoenicurus.phoenicurus,0,SD
373,8814,Parus.cristatus,0,SD
374,8814,Parus.major,0,SD
375,8814,Sylvia.cantillans,1,SD
376,8814,Sitta.europaea,1,SD
377,8814,Dendrocopos.major,0,SD
378,8814,Unidentified,0,SD
379,8865,Columba.palumbus,0,SD
380,8865,Garrulus.glandarius,0,SD
381,8865,Turdus.merula,5,SD
382,8865,Phoenicurus.ochruros,47,SD
383,8865,Erithacus.rubecula,3,SD
384,8865,Parus.ater,41,SD
385,8865,Fringilla.coelebs,14,SD
386,8865,Sylvia.conspicillata,0,SD
387,8865,Sylvia.atricapilla,0,SD
388,8865,Turdus.viscivorus,9,SD
389,8865,Sylvia.communis,13,SD
390,8865,Sylvia.melanocephala,0,SD
391,8865,Sylvia.borin,2,SD
392,8865,Parus.caeruleus,24,SD
393,8865,Phoenicurus.phoenicurus,7,SD
394,8865,Parus.cristatus,0,SD
395,8865,Parus.major,0,SD
396,8865,Sylvia.cantillans,1,SD
397,8865,Sitta.europaea,7,SD
398,8865,Dendrocopos.major,0,SD
399,8865,Unidentified,0,SD
400,1933,Hemaris.tityus,0,P
401,1933,Iphiclides.podalirius.Ad,1,P
402,1933,Vanessa.cardui,1,P
403,1933,Psithyrus.vestalis.obenbergeri,0,P
404,1933,Bombus.pratorum.m.,0,P
405,1933,Bombus.pratorum.wk.,0,P
406,1933,Bombus.pascuorum.wk.,0,P
407,1933,Bombus.pascuorum.q.,0,P
408,1933,Bombus.terrestris.wk.,2,P
409,1933,Bombus.terrestris.q.,0,P
410,1933,Xylocopa.violacea,0,P
411,1933,Apis.mellifera,1,P
412,1933,Osmia.rufa,0,P
413,1933,Andrena.fulva,2,P
414,1933,Andrena.synadelpha.nigroaenea,0,P
415,1933,Andrena.trimmerana,0,P
416,1933,Andrena.congruens,8,P
417,1933,Andrena.tibialis.corvina,0,P
418,1933,Andrena.albopunctata.morio,0,P
419,1933,Andrena.assimilis,0,P
420,1933,Halictus.quadricinctus,0,P
421,1933,Halictus.tridivisus,0,P
422,1933,Halictus.scabiosae,0,P
423,1933,Lasioglossum.xanthopum,0,P
424,1933,Sphecodes.gibbus,0,P
425,1933,Megachile.centuncularis,0,P
426,1933,Ancistrocerus.nigricornis,0,P
427,1933,Eristalis.tenax,0,P
428,1933,Eristalis.pratorum,0,P
429,1933,Eristalis.arbustorum,0,P
430,1933,Cheilosia.glossa,0,P
431,1933,Mallota.fuciformis,0,P
432,1933,Dasysyrphus.albostriatus,0,P
433,1933,Syrphus.vitripennis,0,P
434,1933,Syrphus.ribessi,0,P
435,1933,Criorhina.berberina,0,P
436,1933,Calliphora.vomitoria,8,P
437,1933,Gonia.ornata,2,P
438,1933,Pollenia.rudis,0,P
439,1933,Tachina.corsicana,0,P
440,1933,Asilidae.NI,0,P
441,1933,Empididae.NI,0,P
442,1933,Diptera.NI,0,P
443,1931,Hemaris.tityus,0,P
444,1931,Iphiclides.podalirius.Ad,0,P
445,1931,Vanessa.cardui,0,P
446,1931,Psithyrus.vestalis.obenbergeri,3,P
447,1931,Bombus.pratorum.m.,2,P
448,1931,Bombus.pratorum.wk.,6,P
449,1931,Bombus.pascuorum.wk.,0,P
450,1931,Bombus.pascuorum.q.,1,P
451,1931,Bombus.terrestris.wk.,6,P
452,1931,Bombus.terrestris.q.,1,P
453,1931,Xylocopa.violacea,1,P
454,1931,Apis.mellifera,4,P
455,1931,Osmia.rufa,2,P
456,1931,Andrena.fulva,112,P
457,1931,Andrena.synadelpha.nigroaenea,5,P
458,1931,Andrena.trimmerana,2,P
459,1931,Andrena.congruens,18,P
460,1931,Andrena.tibialis.corvina,1,P
461,1931,Andrena.albopunctata.morio,2,P
462,1931,Andrena.assimilis,3,P
463,1931,Halictus.quadricinctus,2,P
464,1931,Halictus.tridivisus,0,P
465,1931,Halictus.scabiosae,2,P
466,1931,Lasioglossum.xanthopum,0,P
467,1931,Sphecodes.gibbus,0,P
468,1931,Megachile.centuncularis,0,P
469,1931,Ancistrocerus.nigricornis,0,P
470,1931,Eristalis.tenax,6,P
471,1931,Eristalis.pratorum,0,P
472,1931,Eristalis.arbustorum,2,P
473,1931,Cheilosia.glossa,0,P
474,1931,Mallota.fuciformis,0,P
475,1931,Dasysyrphus.albostriatus,0,P
476,1931,Syrphus.vitripennis,0,P
477,1931,Syrphus.ribessi,0,P
478,1931,Criorhina.berberina,0,P
479,1931,Calliphora.vomitoria,16,P
480,1931,Gonia.ornata,1,P
481,1931,Pollenia.rudis,0,P
482,1931,Tachina.corsicana,0,P
483,1931,Asilidae.NI,0,P
484,1931,Empididae.NI,2,P
485,1931,Diptera.NI,0,P
486,1932,Hemaris.tityus,0,P
487,1932,Iphiclides.podalirius.Ad,0,P
488,1932,Vanessa.cardui,0,P
489,1932,Psithyrus.vestalis.obenbergeri,0,P
490,1932,Bombus.pratorum.m.,0,P
491,1932,Bombus.pratorum.wk.,0,P
492,1932,Bombus.pascuorum.wk.,0,P
493,1932,Bombus.pascuorum.q.,0,P
494,1932,Bombus.terrestris.wk.,1,P
495,1932,Bombus.terrestris.q.,0,P
496,1932,Xylocopa.violacea,1,P
497,1932,Apis.mellifera,0,P
498,1932,Osmia.rufa,0,P
499,1932,Andrena.fulva,2,P
500,1932,Andrena.synadelpha.nigroaenea,0,P
501,1932,Andrena.trimmerana,0,P
502,1932,Andrena.congruens,0,P
503,1932,Andrena.tibialis.corvina,0,P
504,1932,Andrena.albopunctata.morio,0,P
505,1932,Andrena.assimilis,0,P
506,1932,Halictus.quadricinctus,0,P
507,1932,Halictus.tridivisus,0,P
508,1932,Halictus.scabiosae,0,P
509,1932,Lasioglossum.xanthopum,0,P
510,1932,Sphecodes.gibbus,0,P
511,1932,Megachile.centuncularis,0,P
512,1932,Ancistrocerus.nigricornis,0,P
513,1932,Eristalis.tenax,10,P
514,1932,Eristalis.pratorum,2,P
515,1932,Eristalis.arbustorum,6,P
516,1932,Cheilosia.glossa,7,P
517,1932,Mallota.fuciformis,4,P
518,1932,Dasysyrphus.albostriatus,1,P
519,1932,Syrphus.vitripennis,8,P
520,1932,Syrphus.ribessi,1,P
521,1932,Criorhina.berberina,1,P
522,1932,Calliphora.vomitoria,98,P
523,1932,Gonia.ornata,21,P
524,1932,Pollenia.rudis,10,P
525,1932,Tachina.corsicana,4,P
526,1932,Asilidae.NI,15,P
527,1932,Empididae.NI,41,P
528,1932,Diptera.NI,3,P
529,1934,Hemaris.tityus,0,P
530,1934,Iphiclides.podalirius.Ad,0,P
531,1934,Vanessa.cardui,0,P
532,1934,Psithyrus.vestalis.obenbergeri,0,P
533,1934,Bombus.pratorum.m.,0,P
534,1934,Bombus.pratorum.wk.,0,P
535,1934,Bombus.pascuorum.wk.,0,P
536,1934,Bombus.pascuorum.q.,0,P
537,1934,Bombus.terrestris.wk.,2,P
538,1934,Bombus.terrestris.q.,0,P
539,1934,Xylocopa.violacea,0,P
540,1934,Apis.mellifera,0,P
541,1934,Osmia.rufa,0,P
542,1934,Andrena.fulva,28,P
543,1934,Andrena.synadelpha.nigroaenea,0,P
544,1934,Andrena.trimmerana,0,P
545,1934,Andrena.congruens,0,P
546,1934,Andrena.tibialis.corvina,0,P
547,1934,Andrena.albopunctata.morio,1,P
548,1934,Andrena.assimilis,0,P
549,1934,Halictus.quadricinctus,1,P
550,1934,Halictus.tridivisus,0,P
551,1934,Halictus.scabiosae,2,P
552,1934,Lasioglossum.xanthopum,0,P
553,1934,Sphecodes.gibbus,0,P
554,1934,Megachile.centuncularis,0,P
555,1934,Ancistrocerus.nigricornis,0,P
556,1934,Eristalis.tenax,1,P
557,1934,Eristalis.pratorum,0,P
558,1934,Eristalis.arbustorum,0,P
559,1934,Cheilosia.glossa,0,P
560,1934,Mallota.fuciformis,0,P
561,1934,Dasysyrphus.albostriatus,0,P
562,1934,Syrphus.vitripennis,0,P
563,1934,Syrphus.ribessi,0,P
564,1934,Criorhina.berberina,0,P
565,1934,Calliphora.vomitoria,10,P
566,1934,Gonia.ornata,0,P
567,1934,Pollenia.rudis,0,P
568,1934,Tachina.corsicana,0,P
569,1934,Asilidae.NI,0,P
570,1934,Empididae.NI,1,P
571,1934,Diptera.NI,0,P
572,1936,Hemaris.tityus,0,P
573,1936,Iphiclides.podalirius.Ad,1,P
574,1936,Vanessa.cardui,0,P
575,1936,Psithyrus.vestalis.obenbergeri,0,P
576,1936,Bombus.pratorum.m.,0,P
577,1936,Bombus.pratorum.wk.,0,P
578,1936,Bombus.pascuorum.wk.,0,P
579,1936,Bombus.pascuorum.q.,0,P
580,1936,Bombus.terrestris.wk.,1,P
581,1936,Bombus.terrestris.q.,0,P
582,1936,Xylocopa.violacea,0,P
583,1936,Apis.mellifera,0,P
584,1936,Osmia.rufa,0,P
585,1936,Andrena.fulva,2,P
586,1936,Andrena.synadelpha.nigroaenea,2,P
587,1936,Andrena.trimmerana,0,P
588,1936,Andrena.congruens,0,P
589,1936,Andrena.tibialis.corvina,0,P
590,1936,Andrena.albopunctata.morio,0,P
591,1936,Andrena.assimilis,0,P
592,1936,Halictus.quadricinctus,0,P
593,1936,Halictus.tridivisus,0,P
594,1936,Halictus.scabiosae,0,P
595,1936,Lasioglossum.xanthopum,0,P
596,1936,Sphecodes.gibbus,0,P
597,1936,Megachile.centuncularis,0,P
598,1936,Ancistrocerus.nigricornis,0,P
599,1936,Eristalis.tenax,6,P
600,1936,Eristalis.pratorum,1,P
601,1936,Eristalis.arbustorum,0,P
602,1936,Cheilosia.glossa,2,P
603,1936,Mallota.fuciformis,1,P
604,1936,Dasysyrphus.albostriatus,2,P
605,1936,Syrphus.vitripennis,2,P
606,1936,Syrphus.ribessi,0,P
607,1936,Criorhina.berberina,0,P
608,1936,Calliphora.vomitoria,32,P
609,1936,Gonia.ornata,8,P
610,1936,Pollenia.rudis,3,P
611,1936,Tachina.corsicana,0,P
612,1936,Asilidae.NI,10,P
613,1936,Empididae.NI,8,P
614,1936,Diptera.NI,0,P
615,1937,Hemaris.tityus,0,P
616,1937,Iphiclides.podalirius.Ad,0,P
617,1937,Vanessa.cardui,0,P
618,1937,Psithyrus.vestalis.obenbergeri,0,P
619,1937,Bombus.pratorum.m.,0,P
620,1937,Bombus.pratorum.wk.,0,P
621,1937,Bombus.pascuorum.wk.,0,P
622,1937,Bombus.pascuorum.q.,0,P
623,1937,Bombus.terrestris.wk.,1,P
624,1937,Bombus.terrestris.q.,0,P
625,1937,Xylocopa.violacea,0,P
626,1937,Apis.mellifera,1,P
627,1937,Osmia.rufa,0,P
628,1937,Andrena.fulva,34,P
629,1937,Andrena.synadelpha.nigroaenea,0,P
630,1937,Andrena.trimmerana,0,P
631,1937,Andrena.congruens,0,P
632,1937,Andrena.tibialis.corvina,0,P
633,1937,Andrena.albopunctata.morio,0,P
634,1937,Andrena.assimilis,0,P
635,1937,Halictus.quadricinctus,0,P
636,1937,Halictus.tridivisus,0,P
637,1937,Halictus.scabiosae,2,P
638,1937,Lasioglossum.xanthopum,0,P
639,1937,Sphecodes.gibbus,0,P
640,1937,Megachile.centuncularis,0,P
641,1937,Ancistrocerus.nigricornis,0,P
642,1937,Eristalis.tenax,0,P
643,1937,Eristalis.pratorum,0,P
644,1937,Eristalis.arbustorum,0,P
645,1937,Cheilosia.glossa,0,P
646,1937,Mallota.fuciformis,0,P
647,1937,Dasysyrphus.albostriatus,0,P
648,1937,Syrphus.vitripennis,0,P
649,1937,Syrphus.ribessi,0,P
650,1937,Criorhina.berberina,0,P
651,1937,Calliphora.vomitoria,8,P
652,1937,Gonia.ornata,2,P
653,1937,Pollenia.rudis,0,P
654,1937,Tachina.corsicana,0,P
655,1937,Asilidae.NI,0,P
656,1937,Empididae.NI,0,P
657,1937,Diptera.NI,0,P
658,1938,Hemaris.tityus,0,P
659,1938,Iphiclides.podalirius.Ad,0,P
660,1938,Vanessa.cardui,0,P
661,1938,Psithyrus.vestalis.obenbergeri,1,P
662,1938,Bombus.pratorum.m.,0,P
663,1938,Bombus.pratorum.wk.,4,P
664,1938,Bombus.pascuorum.wk.,1,P
665,1938,Bombus.pascuorum.q.,0,P
666,1938,Bombus.terrestris.wk.,1,P
667,1938,Bombus.terrestris.q.,0,P
668,1938,Xylocopa.violacea,0,P
669,1938,Apis.mellifera,0,P
670,1938,Osmia.rufa,0,P
671,1938,Andrena.fulva,3,P
672,1938,Andrena.synadelpha.nigroaenea,0,P
673,1938,Andrena.trimmerana,0,P
674,1938,Andrena.congruens,0,P
675,1938,Andrena.tibialis.corvina,0,P
676,1938,Andrena.albopunctata.morio,0,P
677,1938,Andrena.assimilis,0,P
678,1938,Halictus.quadricinctus,1,P
679,1938,Halictus.tridivisus,0,P
680,1938,Halictus.scabiosae,0,P
681,1938,Lasioglossum.xanthopum,0,P
682,1938,Sphecodes.gibbus,0,P
683,1938,Megachile.centuncularis,0,P
684,1938,Ancistrocerus.nigricornis,0,P
685,1938,Eristalis.tenax,3,P
